#HEADER
#CHANTITLE
No:1091  Top PSD of stress
#TITLES
,No:1091  Top Frequency,No:1091  Top PSD of stress
#UNITS
,Hz,Pa^2/Hz
#KEYWORDS
,Frequency,PSD
#DATATYPES
Huge,Float,Float
#DATA
1,0,1.668E6
2,0.9775,1.668E6
3,1.955,2.694E11
4,2.933,3.601E11
5,3.91,4.424E11
6,4.888,5.189E11
7,5.865,5.912E11
8,6.843,6.602E11
9,7.82,7.263E11
10,8.798,7.902E11
11,9.775,8.52E11
12,10,8.66E11
13,10.75,1.095E12
14,11.73,1.451E12
15,12.71,1.879E12
16,13.69,2.387E12
17,14.66,2.984E12
18,15.64,3.676E12
19,16.62,4.471E12
20,17.6,5.378E12
21,18.57,6.405E12
22,19.55,7.56E12
23,20.53,8.852E12
24,21.51,1.029E13
25,22.48,1.188E13
26,23.46,1.363E13
27,24.44,1.555E13
28,25.42,1.745E13
29,26.39,1.918E13
30,27.37,2.102E13
31,28.35,2.296E13
32,29.33,2.501E13
33,30.3,2.716E13
34,31.28,2.942E13
35,32.26,3.179E13
36,33.24,3.427E13
37,34.21,3.686E13
38,35.19,3.957E13
39,36.17,4.24E13
40,37.15,4.534E13
41,38.12,4.84E13
42,39.1,5.159E13
43,40.08,5.489E13
44,41.06,5.833E13
45,42.03,6.189E13
46,43.01,6.557E13
47,43.99,6.939E13
48,44.3,7.062E13
49,44.97,1.148E14
50,45.94,2.306E14
51,46.92,4.562E14
52,47.57,7.11E14
53,47.85,7.591E14
54,47.88,7.587E14
55,47.9,7.578E14
56,47.9,7.576E14
57,48.19,6.937E14
58,48.88,4.165E14
59,49.85,2.034E14
60,50.83,1.007E14
61,51.75,5.26E13
62,51.81,5.208E13
63,52.79,4.403E13
64,53.76,3.734E13
65,54.74,3.176E13
66,55.72,2.709E13
67,56.7,2.317E13
68,57.67,1.987E13
69,58.65,1.709E13
70,59.63,1.473E13
71,60.61,1.273E13
72,61.58,1.102E13
73,62.56,9.568E12
74,63.54,8.324E12
75,64.52,7.257E12
76,65.49,6.34E12
77,66.47,5.55E12
78,67.45,4.867E12
79,68.43,4.277E12
80,69.4,3.765E12
81,70.38,3.321E12
82,71.36,2.934E12
83,72.34,2.596E12
84,73.31,2.301E12
85,74.29,2.043E12
86,75.27,1.817E12
87,76.25,1.618E12
88,77.22,1.443E12
89,78.2,1.289E12
90,79.18,1.153E12
91,80.16,1.032E12
92,81.13,9.258E11
93,82.11,8.313E11
94,83.09,7.475E11
95,84.07,6.729E11
96,85.04,6.065E11
97,86.02,5.473E11
98,87,4.945E11
99,87.98,4.473E11
100,88.95,4.05E11
101,89.93,3.671E11
102,90.91,3.331E11
103,91.89,3.026E11
104,92.86,2.752E11
105,93.84,2.505E11
106,94.82,2.282E11
107,95.76,2.089E11
108,95.8,2.085E11
109,96.77,2.004E11
110,97.75,1.927E11
111,98.73,1.854E11
112,99.71,1.784E11
113,100.7,1.717E11
114,101.7,1.654E11
115,102.6,1.593E11
116,103.6,1.535E11
117,104.6,1.48E11
118,105.6,1.427E11
119,106.5,1.376E11
120,107.5,1.328E11
121,108.5,1.282E11
122,109.5,1.238E11
123,110.5,1.196E11
124,111.4,1.155E11
125,112.4,1.117E11
